board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,white,0,18,0,0
3,white,1,21,0,0
3,white,2,21,0,0
3,white,3,17,0,0
3,white,4,12,0,0
3,white,5,18,0,0
3,white,6,19,0,0
3,white,7,31,0,0
3,white,8,24,0,0
3,white,9,17,0,0
3,white,10,30,0,0
3,white,11,18,0,0
3,white,12,18,0,0
3,white,13,17,0,0
3,white,14,19,0,0
3,white,15,36,0,0
3,white,16,13,0,0
3,white,17,15,0,0
3,white,18,26,0,0
3,white,19,37,0,0
3,white,20,28,0,0
3,white,21,11,0,0
3,white,22,19,0,0
3,white,23,25,0,0
3,white,24,21,0,0
3,white,25,21,0,0
3,white,26,33,0,0
3,white,27,22,0,0
3,white,28,24,0,0
3,white,29,29,0,0
3,white,30,15,0,0
3,white,31,19,0,0
3,white,32,13,0,0
3,white,33,16,0,0
3,white,34,9,0,0
3,white,35,24,0,0
3,white,36,20,0,0
3,white,37,18,0,0
3,white,38,23,0,0
3,white,39,16,0,0
3,white,40,24,0,0
3,white,41,17,0,0
3,white,42,25,0,0
3,white,43,23,0,0
3,white,44,26,0,0
3,white,45,41,0,0
3,white,46,21,0,0
3,white,47,18,0,0
3,white,48,21,0,0
3,white,49,16,0,0
3,white,50,16,0,0
3,white,51,25,0,0
3,white,52,16,0,0
3,white,53,21,0,0
3,white,54,13,0,0
3,white,55,21,0,0
3,white,56,31,0,0
3,white,57,15,0,0
3,white,58,33,0,0
3,white,59,21,0,0
3,white,60,32,0,0
3,white,61,18,0,0
3,white,62,23,0,0
3,white,63,27,0,0
3,white,64,17,0,0
3,white,65,24,0,0
3,white,66,16,0,0
3,white,67,19,0,0
3,white,68,21,0,0
3,white,69,12,0,0
3,white,70,23,0,0
3,white,71,12,0,0
3,white,72,23,0,0
3,white,73,13,0,0
3,white,74,12,0,0
3,white,75,27,0,0
3,white,76,25,0,0
3,white,77,17,0,0
3,white,78,18,0,0
3,white,79,18,0,0
3,white,80,15,0,0
3,white,81,17,0,0
3,white,82,21,0,0
3,white,83,16,0,0
3,white,84,15,0,0
3,white,85,11,0,0
3,white,86,11,0,0
3,white,87,26,0,0
3,white,88,25,0,0
3,white,89,25,0,0
3,white,90,12,0,0
3,white,91,21,0,0
3,white,92,18,0,0
3,white,93,14,0,0
3,white,94,10,0,0
3,white,95,16,0,0
3,white,96,13,0,0
3,white,97,22,0,0
3,white,98,10,0,0
3,white,99,13,0,0
3,white,100,19,0,0
3,white,101,19,0,0
3,white,102,13,0,0
3,white,103,23,0,0
3,white,104,24,0,0
3,white,105,22,0,0
3,white,106,14,0,0
3,white,107,10,0,0
3,white,108,14,0,0
3,white,109,33,0,0
3,white,110,25,0,0
3,white,111,10,0,0
3,white,112,10,0,0
3,white,113,18,0,0
3,white,114,20,0,0
3,white,115,17,0,0
3,white,116,11,0,0
3,white,117,16,0,0
3,white,118,18,0,0
3,white,119,21,0,0
3,white,120,15,0,0
3,white,121,12,0,0
3,white,122,18,0,0
3,white,123,26,0,0
3,white,124,24,0,0
3,white,125,17,0,0
3,white,126,35,0,0
3,white,127,26,0,0
3,white,128,33,0,0
3,white,129,13,0,0
3,white,130,12,0,0
3,white,131,16,0,0
3,white,132,29,0,0
3,white,133,15,0,0
3,white,134,15,0,0
3,white,135,14,0,0
3,white,136,17,0,0
3,white,137,20,0,0
3,white,138,16,0,0
3,white,139,18,0,0
3,white,140,17,0,0
3,white,141,21,0,0
3,white,142,15,0,0
3,white,143,25,0,0
3,white,144,15,0,0
3,white,145,14,0,0
3,white,146,13,0,0
3,white,147,27,0,0
3,white,148,21,0,0
3,white,149,16,0,0
3,white,150,14,0,0
3,white,151,22,0,0
3,white,152,16,0,0
3,white,153,19,0,0
3,white,154,22,0,0
3,white,155,24,0,0
3,white,156,15,0,0
3,white,157,23,0,0
3,white,158,16,0,0
3,white,159,27,0,0
3,white,160,18,0,0
3,white,161,11,0,0
3,white,162,18,0,0
3,white,163,22,0,0
3,white,164,33,0,0
3,white,165,33,0,0
3,white,166,16,0,0
3,white,167,15,0,0
3,white,168,22,0,0
3,white,169,22,0,0
3,white,170,35,0,0
3,white,171,20,0,0
3,white,172,18,0,0
3,white,173,22,0,0
3,white,174,28,0,0
3,white,175,16,0,0
3,white,176,20,0,0
3,white,177,13,0,0
3,white,178,19,0,0
3,white,179,14,0,0
3,white,180,21,0,0
3,white,181,28,0,0
3,white,182,23,0,0
3,white,183,19,0,0
3,white,184,26,0,0
3,white,185,15,0,0
3,white,186,13,0,0
3,white,187,18,0,0
3,white,188,25,0,0
3,white,189,13,0,0
3,white,190,16,0,0
3,white,191,19,0,0
3,white,192,15,0,0
3,white,193,36,0,0
3,white,194,20,0,0
3,white,195,20,0,0
3,white,196,14,0,0
3,white,197,21,0,0
3,white,198,13,0,0
3,white,199,19,0,0
3,white,200,20,0,0
3,white,201,30,0,0
3,white,202,14,0,0
3,white,203,17,0,0
3,white,204,29,0,0
3,white,205,19,0,0
3,white,206,17,0,0
3,white,207,35,0,0
3,white,208,14,0,0
3,white,209,15,0,0
3,white,210,19,0,0
3,white,211,25,0,0
3,white,212,30,0,0
3,white,213,19,0,0
3,white,214,9,0,0
3,white,215,17,0,0
3,white,216,18,0,0
3,white,217,20,0,0
3,white,218,17,0,0
3,white,219,12,0,0
3,white,220,20,0,0
3,white,221,27,0,0
3,white,222,24,0,0
3,white,223,19,0,0
3,white,224,18,0,0
3,white,225,21,0,0
3,white,226,12,0,0
3,white,227,16,0,0
3,white,228,20,0,0
3,white,229,22,0,0
3,white,230,15,0,0
3,white,231,13,0,0
3,white,232,15,0,0
3,white,233,14,0,0
3,white,234,11,0,0
3,white,235,22,0,0
3,white,236,20,0,0
3,white,237,21,0,0
3,white,238,22,0,0
3,white,239,11,0,0
3,white,240,12,0,0
3,white,241,26,0,0
3,white,242,27,0,0
3,white,243,28,0,0
3,white,244,14,0,0
3,white,245,21,0,0
3,white,246,17,0,0
3,white,247,20,0,0
3,white,248,24,0,0
3,white,249,17,0,0
3,white,250,18,0,0
3,white,251,14,0,0
3,white,252,12,0,0
3,white,253,33,0,0
3,white,254,24,0,0
3,white,255,14,0,0
3,white,256,16,0,0
3,white,257,11,0,0
3,white,258,14,0,0
3,white,259,11,0,0
3,white,260,21,0,0
3,white,261,25,0,0
3,white,262,26,0,0
3,white,263,32,0,0
3,white,264,11,0,0
3,white,265,22,0,0
3,white,266,15,0,0
3,white,267,13,0,0
3,white,268,18,0,0
3,white,269,20,0,0
3,white,270,16,0,0
3,white,271,16,0,0
3,white,272,34,0,0
3,white,273,21,0,0
3,white,274,15,0,0
3,white,275,28,0,0
3,white,276,17,0,0
3,white,277,16,0,0
3,white,278,18,0,0
3,white,279,22,0,0
3,white,280,33,0,0
3,white,281,29,0,0
3,white,282,26,0,0
3,white,283,29,0,0
3,white,284,21,0,0
3,white,285,15,0,0
3,white,286,35,0,0
3,white,287,21,0,0
3,white,288,13,0,0
3,white,289,12,0,0
3,white,290,25,0,0
3,white,291,17,0,0
3,white,292,21,0,0
3,white,293,17,0,0
3,white,294,15,0,0
3,white,295,17,0,0
3,white,296,15,0,0
3,white,297,12,0,0
3,white,298,20,0,0
3,white,299,24,0,0
3,black,0,26,0,0
3,black,1,20,0,0
3,black,2,17,0,0
3,black,3,11,0,0
3,black,4,18,0,0
3,black,5,19,0,0
3,black,6,21,0,0
3,black,7,12,0,0
3,black,8,14,0,0
3,black,9,22,0,0
3,black,10,10,0,0
3,black,11,17,0,0
3,black,12,33,0,0
3,black,13,16,0,0
3,black,14,19,0,0
3,black,15,29,0,0
3,black,16,13,0,0
3,black,17,21,0,0
3,black,18,25,0,0
3,black,19,23,0,0
3,black,20,19,0,0
3,black,21,13,0,0
3,black,22,19,0,0
3,black,23,26,0,0
3,black,24,18,0,0
3,black,25,23,0,0
3,black,26,28,0,0
3,black,27,19,0,0
3,black,28,15,0,0
3,black,29,17,0,0
3,black,30,13,0,0
3,black,31,18,0,0
3,black,32,25,0,0
3,black,33,17,0,0
3,black,34,26,0,0
3,black,35,18,0,0
3,black,36,21,0,0
3,black,37,16,0,0
3,black,38,16,0,0
3,black,39,14,0,0
3,black,40,27,0,0
3,black,41,28,0,0
3,black,42,19,0,0
3,black,43,14,0,0
3,black,44,19,0,0
3,black,45,28,0,0
3,black,46,19,0,0
3,black,47,19,0,0
3,black,48,11,0,0
3,black,49,23,0,0
3,black,50,18,0,0
3,black,51,13,0,0
3,black,52,23,0,0
