board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player,knowledge_graph_nodes,knowledge_graph_total_rollouts
3,1,1.0,3,10,4,25,0,0,268,29980
3,1,1.0,3,10,5,12,0,10,304,32790
3,1,1.0,3,10,6,24,0,0,374,42670
3,1,1.0,3,10,7,20,0,10,434,49640
3,1,1.0,3,10,8,17,10,0,485,54820
3,1,1.0,3,10,9,12,0,10,521,57610
3,1,1.0,3,10,10,24,0,0,593,67430
3,1,1.0,3,10,11,19,10,0,650,73790
3,1,1.0,3,10,12,12,0,0,685,76600
3,1,1.0,3,10,13,34,0,10,787,95640
3,1,1.0,3,10,14,18,0,0,841,101410
3,1,1.0,3,10,15,20,0,10,901,108470
3,1,1.0,3,10,16,21,0,0,963,116170
3,1,1.0,3,10,17,19,0,0,1019,122540
3,1,1.0,3,10,18,18,0,10,1073,128390
3,1,1.0,3,10,19,24,0,0,1143,138290
3,1,1.0,3,10,20,19,10,0,1199,144730
3,1,1.0,3,10,21,33,10,0,1297,162680
3,1,1.0,3,10,22,18,0,10,1350,168510
3,1,1.0,3,10,23,17,0,0,1400,173780
3,1,1.0,3,10,24,20,0,10,1460,180800
3,1,1.0,3,10,25,23,10,0,1524,190010
3,1,1.0,3,10,26,18,0,0,1577,195830
3,1,1.0,3,10,27,24,0,10,1648,205830
3,1,1.0,3,10,28,15,10,0,1692,210080
3,1,1.0,3,10,29,21,10,0,1754,217850
3,1,1.0,3,10,30,14,0,10,1796,221610
3,1,1.0,3,10,31,19,10,0,1853,228070
3,1,1.0,3,10,32,23,0,0,1921,237270
3,1,1.0,3,10,33,17,10,0,1972,242590
3,1,1.0,3,10,34,16,0,0,2019,247370
3,1,1.0,3,10,35,21,10,0,2081,255120
3,1,1.0,3,10,36,21,0,0,2144,262920
3,1,1.0,3,10,37,26,0,10,2222,274510
3,1,1.0,3,10,38,19,10,0,2279,280960
3,1,1.0,3,10,39,13,10,0,2318,284270
3,1,1.0,3,10,40,14,0,10,2360,288090
3,1,1.0,3,10,41,18,0,10,2412,293940
3,1,1.0,3,10,42,21,10,0,2475,301780
3,1,1.0,3,10,43,26,0,10,2552,313390
3,1,1.0,3,10,44,27,0,0,2633,325730
3,1,1.0,3,10,45,21,10,0,2695,333510
3,1,1.0,3,10,46,19,0,0,2752,339940
3,1,1.0,3,10,47,25,10,0,2827,350700
3,1,1.0,3,10,48,24,0,10,2899,360620
3,1,1.0,3,10,49,10,0,10,2929,362690
3,1,1.0,3,10,50,24,0,0,3001,372620
3,1,1.0,3,10,51,29,10,0,3088,386820
3,1,1.0,3,10,52,29,10,0,3175,400960
3,1,1.0,3,10,53,19,10,0,3232,407410
3,1,1.0,3,10,54,9,0,0,3259,409190
3,1,1.0,3,10,55,13,0,0,3298,412550
3,1,1.0,3,10,56,17,10,0,3349,417870
3,1,1.0,3,10,57,26,0,10,3427,429440
3,1,1.0,3,10,58,17,0,0,3477,434770
3,1,1.0,3,10,59,34,0,10,3579,453900
3,1,1.0,3,10,60,15,0,0,3623,458190
3,1,1.0,3,10,61,29,10,0,3708,472410
3,1,1.0,3,10,62,22,0,10,3774,480900
3,1,1.0,3,10,63,14,0,10,3816,484670
3,1,1.0,3,10,64,19,10,0,3872,491290
3,1,1.0,3,10,65,16,0,10,3918,496130
3,1,1.0,3,10,66,20,0,0,3978,503320
3,1,1.0,3,10,67,21,0,0,4040,511150
3,1,1.0,3,10,68,14,0,0,4082,515000
3,1,1.0,3,10,69,21,0,0,4145,522770
3,1,1.0,3,10,70,12,0,0,4181,525660
3,1,1.0,3,10,71,20,0,10,4240,532830
3,1,1.0,3,10,72,26,0,10,4318,544400
3,1,1.0,3,10,73,21,10,0,4381,552260
