board_size,starting_player,trial_number,steps,reward_for_white_player,reward_for_black_player
3,white,0,19,0,0
3,white,1,24,0,0
3,white,2,20,0,0
3,white,3,14,0,10
3,white,4,8,0,10
3,white,5,31,10,0
3,white,6,14,0,10
3,white,7,16,0,10
3,white,8,30,0,0
3,white,9,17,0,0
3,white,10,24,0,10
3,white,11,21,10,0
3,white,12,14,0,0
3,white,13,10,0,10
3,white,14,21,0,0
3,white,15,24,0,10
3,white,16,17,0,0
3,white,17,23,10,0
3,white,18,13,0,0
3,white,19,34,0,10
3,white,20,19,0,0
3,white,21,21,10,0
3,white,22,25,0,0
3,white,23,14,0,10
3,white,24,30,0,0
3,white,25,19,10,0
3,white,26,24,0,10
3,white,27,25,10,0
3,white,28,15,10,0
3,white,29,18,0,0
3,white,30,22,0,10
3,white,31,14,0,10
3,white,32,11,10,0
3,white,33,36,0,0
3,white,34,20,0,10
3,white,35,18,0,10
3,white,36,17,10,0
3,white,37,25,0,0
3,white,38,23,0,0
3,white,39,17,0,0
3,white,40,15,0,0
3,white,41,31,10,0
3,white,42,16,0,0
3,white,43,19,0,0
3,white,44,11,0,0
3,white,45,18,0,10
3,white,46,18,0,10
3,white,47,13,10,0
3,white,48,32,0,10
3,white,49,19,10,0
3,white,50,14,0,10
3,white,51,25,10,0
3,white,52,16,0,0
3,white,53,15,10,0
3,white,54,21,10,0
3,white,55,22,0,0
3,white,56,18,0,10
3,white,57,24,0,0
3,white,58,22,0,10
3,white,59,12,0,0
3,white,60,15,0,0
3,white,61,23,0,0
3,white,62,18,0,10
3,white,63,18,0,10
3,white,64,19,10,0
3,white,65,11,0,0
3,white,66,20,0,10
3,white,67,17,10,0
3,white,68,16,0,0
3,white,69,19,10,0
3,white,70,20,0,10
3,white,71,28,0,0
3,white,72,26,0,10
3,white,73,13,0,0
3,white,74,17,0,0
3,white,75,22,0,10
3,white,76,23,10,0
3,white,77,13,10,0
3,white,78,19,10,0
3,white,79,15,0,0
3,white,80,15,0,0
3,white,81,25,0,0
3,white,82,17,0,0
3,white,83,11,0,0
3,white,84,10,0,10
3,white,85,17,10,0
3,white,86,18,0,0
3,white,87,31,0,0
3,white,88,17,0,0
3,white,89,15,0,0
3,white,90,14,0,10
3,white,91,28,0,0
3,white,92,20,0,10
3,white,93,20,0,10
3,white,94,28,0,0
3,white,95,14,0,10
3,white,96,14,0,0
3,white,97,25,10,0
3,white,98,26,0,0
3,white,99,19,0,0
3,white,100,20,0,0
3,white,101,14,0,0
3,white,102,26,0,0
3,white,103,15,10,0
3,white,104,26,0,10
3,white,105,12,0,10
3,white,106,29,10,0
3,white,107,30,0,0
3,white,108,22,0,0
3,white,109,20,0,10
3,white,110,12,0,0
3,white,111,22,0,0
3,white,112,37,10,0
3,white,113,21,0,0
3,white,114,14,0,10
3,white,115,18,0,10
3,white,116,20,0,0
3,white,117,31,0,0
3,white,118,19,10,0
3,white,119,16,0,10
3,white,120,24,0,10
3,white,121,13,0,0
3,white,122,14,0,0
3,white,123,27,0,0
3,white,124,19,10,0
3,white,125,14,0,10
3,white,126,24,0,0
3,white,127,16,0,0
3,white,128,16,0,10
3,white,129,32,0,10
3,white,130,18,0,10
3,white,131,21,0,0
3,white,132,18,0,10
3,white,133,23,0,0
3,white,134,14,0,0
3,white,135,18,0,0
3,white,136,21,10,0
3,white,137,16,0,10
3,white,138,15,0,0
3,white,139,17,0,0
3,white,140,13,10,0
3,white,141,17,0,0
3,white,142,17,0,0
3,white,143,26,0,0
3,white,144,25,10,0
3,white,145,13,0,0
3,white,146,24,0,0
3,white,147,17,0,0
3,white,148,22,0,0
3,white,149,23,0,0
3,white,150,18,0,10
3,white,151,15,0,0
3,white,152,31,10,0
3,white,153,18,0,10
3,white,154,15,0,0
3,white,155,19,0,0
3,white,156,24,0,0
3,white,157,19,0,0
3,white,158,14,0,0
3,white,159,29,0,0
3,white,160,16,0,0
3,white,161,19,0,0
3,white,162,18,0,0
3,white,163,18,0,10
3,white,164,24,0,0
3,white,165,21,10,0
3,white,166,18,0,10
3,white,167,14,0,10
3,white,168,21,0,0
3,white,169,15,0,0
3,white,170,25,10,0
3,white,171,16,0,0
3,white,172,29,0,0
3,white,173,24,0,10
3,white,174,22,0,10
3,white,175,22,0,0
3,white,176,14,0,0
3,white,177,19,10,0
3,white,178,9,10,0
3,white,179,15,10,0
3,white,180,18,0,10
3,white,181,11,10,0
3,white,182,13,0,0
3,white,183,19,10,0
3,white,184,25,0,0
3,white,185,14,0,10
3,white,186,21,10,0
3,white,187,15,10,0
3,white,188,19,0,0
3,white,189,16,0,0
3,white,190,22,0,0
3,white,191,26,0,0
3,white,192,19,0,0
3,white,193,26,0,0
3,white,194,18,0,10
3,white,195,22,0,0
3,white,196,22,0,10
3,white,197,20,0,10
3,white,198,14,0,0
3,white,199,20,0,0
3,white,200,30,0,0
3,white,201,11,10,0
3,white,202,12,0,10
3,white,203,17,10,0
3,white,204,12,0,0
3,white,205,23,0,0
3,white,206,16,0,0
3,white,207,16,0,0
3,white,208,12,0,0
3,white,209,17,0,0
3,white,210,13,10,0
3,white,211,15,10,0
3,white,212,21,10,0
3,white,213,14,0,0
3,white,214,22,0,10
3,white,215,18,0,0
3,white,216,18,0,10
3,white,217,10,0,0
3,white,218,17,10,0
3,white,219,15,0,0
3,white,220,21,0,0
3,white,221,15,0,0
3,white,222,15,0,0
3,white,223,14,0,10
3,white,224,15,10,0
3,white,225,13,0,0
3,white,226,16,0,0
3,white,227,14,0,0
3,white,228,18,0,10
3,white,229,15,10,0
3,white,230,16,0,10
3,white,231,19,10,0
3,white,232,21,10,0
3,white,233,22,0,0
3,white,234,19,10,0
3,white,235,10,0,0
3,white,236,12,0,0
3,white,237,25,10,0
3,white,238,18,0,10
3,white,239,22,0,0
3,white,240,27,0,0
3,white,241,16,0,0
3,white,242,31,10,0
3,white,243,14,0,0
3,white,244,22,0,0
3,white,245,27,10,0
3,white,246,12,0,0
3,white,247,18,0,0
3,white,248,13,10,0
3,white,249,12,0,10
3,white,250,18,0,10
3,white,251,17,10,0
3,white,252,38,0,0
3,white,253,25,10,0
3,white,254,16,0,10
3,white,255,17,0,0
3,white,256,14,0,0
3,white,257,25,0,0
3,white,258,13,0,0
3,white,259,26,0,10
3,white,260,14,0,0
3,white,261,16,0,10
3,white,262,19,10,0
3,white,263,32,0,0
3,white,264,37,10,0
3,white,265,24,0,0
3,white,266,25,0,0
3,white,267,44,0,0
3,white,268,24,0,0
3,white,269,29,0,0
3,white,270,19,0,0
