board_size,min_max_depth,trial_number,steps,reward_for_white_player,reward_for_black_player
3,1,0,16,0,0
3,1,1,17,0,0
3,1,2,15,0,0
3,1,3,22,0,0
3,1,4,23,0,0
3,1,5,16,0,10
3,1,6,12,0,10
3,1,7,18,0,10
3,1,8,21,0,0
3,1,9,28,0,0
3,2,0,19,10,0
3,2,1,16,0,10
3,2,2,27,0,0
3,2,3,11,10,0
3,2,4,25,10,0
3,2,5,20,0,10
3,2,6,17,10,0
3,2,7,12,0,0
3,2,8,12,0,0
3,2,9,23,10,0
3,3,0,16,0,0
3,3,1,11,0,0
3,3,2,19,0,0
3,3,3,9,10,0
3,3,4,21,10,0
3,3,5,13,0,0
3,3,6,30,0,0
3,3,7,23,0,0
3,3,8,27,0,0
3,3,9,20,0,10
3,4,0,21,0,0
3,4,1,12,0,10
3,4,2,36,0,0
3,4,3,19,0,0
3,4,4,16,0,0
3,4,5,17,10,0
3,4,6,20,0,0
3,4,7,16,0,0
3,4,8,17,0,0
3,4,9,10,0,10
3,5,0,15,0,0
3,5,1,13,10,0
3,5,2,21,0,0
3,5,3,20,0,10
3,5,4,21,10,0
3,5,5,20,0,10
3,5,6,16,0,10
3,5,7,24,0,10
3,5,8,21,0,0
3,5,9,28,0,0
3,6,0,26,0,10
3,6,1,25,0,0
3,6,2,41,10,0
3,6,3,26,0,10
3,6,4,15,10,0
3,6,5,15,10,0
3,6,6,21,0,0
3,6,7,16,0,0
3,6,8,33,10,0
3,6,9,14,0,10
3,7,0,23,10,0
3,7,1,20,0,10
3,7,2,17,0,0
3,7,3,22,0,0
3,7,4,24,0,0
3,7,5,15,0,0
3,7,6,33,10,0
3,7,7,14,0,10
3,7,8,16,0,10
3,7,9,18,0,10
3,8,0,25,10,0
3,8,1,22,0,0
3,8,2,20,0,0
3,8,3,13,10,0
3,8,4,13,0,0
3,8,5,28,0,0
3,8,6,19,0,0
3,8,7,21,0,0
3,8,8,23,0,0
3,8,9,32,0,0
3,9,0,15,10,0
3,9,1,17,0,0
3,9,2,22,0,10
3,9,3,27,10,0
3,9,4,32,0,10
3,9,5,28,0,0
3,9,6,13,10,0
3,9,7,25,10,0
3,9,8,18,0,0
3,9,9,24,0,10
3,10,0,23,0,0
3,10,1,25,10,0
3,10,2,11,0,0
3,10,3,19,10,0
3,10,4,27,0,0
3,10,5,18,0,0
3,10,6,21,0,0
3,10,7,21,10,0
3,10,8,24,0,10
3,10,9,16,0,10
4,1,0,31,17,0
4,1,1,36,0,17
4,1,2,39,17,0
