board_size,epsilon,gamma,alpha,starting_player,episode,trial_number,steps,reward_for_white_player,reward_for_black_player
3,0.1,0.99,0.99,white,0,0,31,10,0
3,0.1,0.99,0.99,white,1,0,15,10,0
3,0.1,0.99,0.99,white,2,0,32,0,10
3,0.1,0.99,0.99,white,3,0,16,0,10
3,0.1,0.99,0.99,white,4,0,17,10,0
3,0.1,0.99,0.99,white,5,0,36,0,10
3,0.1,0.99,0.99,white,6,0,40,0,0
3,0.1,0.99,0.99,white,7,0,29,10,0
3,0.1,0.99,0.99,white,8,0,36,0,0
3,0.1,0.99,0.99,white,9,0,33,10,0
3,0.1,0.99,0.99,white,10,0,38,0,10
3,0.1,0.99,0.99,white,11,0,17,0,0
3,0.1,0.99,0.99,white,12,0,35,10,0
3,0.1,0.99,0.99,white,13,0,14,0,0
3,0.1,0.99,0.99,white,14,0,16,0,10
3,0.1,0.99,0.99,white,15,0,10,0,10
3,0.1,0.99,0.99,white,16,0,15,0,0
3,0.1,0.99,0.99,white,17,0,20,0,10
3,0.1,0.99,0.99,white,18,0,9,10,0
3,0.1,0.99,0.99,white,19,0,31,0,0
3,0.1,0.99,0.99,white,20,0,23,0,0
3,0.1,0.99,0.99,white,21,0,20,0,0
3,0.1,0.99,0.99,white,22,0,15,0,0
3,0.1,0.99,0.99,white,23,0,9,0,0
3,0.1,0.99,0.99,white,24,0,42,0,0
3,0.1,0.99,0.99,white,25,0,14,0,0
3,0.1,0.99,0.99,white,26,0,30,0,0
3,0.1,0.99,0.99,white,27,0,16,0,10
3,0.1,0.99,0.99,white,28,0,19,10,0
3,0.1,0.99,0.99,white,29,0,23,0,0
3,0.1,0.99,0.99,white,30,0,22,0,0
3,0.1,0.99,0.99,white,31,0,23,10,0
3,0.1,0.99,0.99,white,32,0,17,0,0
3,0.1,0.99,0.99,white,33,0,31,10,0
3,0.1,0.99,0.99,white,34,0,16,0,10
3,0.1,0.99,0.99,white,35,0,13,0,0
3,0.1,0.99,0.99,white,36,0,28,0,10
3,0.1,0.99,0.99,white,37,0,22,0,0
3,0.1,0.99,0.99,white,38,0,15,0,0
3,0.1,0.99,0.99,white,39,0,14,0,0
3,0.1,0.99,0.99,white,40,0,24,0,10
3,0.1,0.99,0.99,white,41,0,19,10,0
3,0.1,0.99,0.99,white,42,0,15,0,0
3,0.1,0.99,0.99,white,43,0,16,0,0
3,0.1,0.99,0.99,white,44,0,44,0,0
3,0.1,0.99,0.99,white,45,0,22,0,0
3,0.1,0.99,0.99,white,46,0,18,0,0
3,0.1,0.99,0.99,white,47,0,27,0,0
3,0.1,0.99,0.99,white,48,0,14,0,10
3,0.1,0.99,0.99,white,49,0,39,0,0
3,0.1,0.99,0.99,white,50,0,11,0,0
3,0.1,0.99,0.99,white,51,0,18,0,10
3,0.1,0.99,0.99,white,52,0,31,10,0
3,0.1,0.99,0.99,white,53,0,11,10,0
3,0.1,0.99,0.99,white,54,0,26,0,10
3,0.1,0.99,0.99,white,55,0,12,0,0
3,0.1,0.99,0.99,white,56,0,20,0,0
3,0.1,0.99,0.99,white,57,0,9,10,0
