board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,1.0,0,12,0,0
3,1.0,1,28,0,0
3,1.0,2,24,0,10
3,1.0,3,18,0,0
3,1.0,4,16,0,10
3,1.0,5,19,10,0
3,1.0,6,16,0,0
3,1.0,7,22,0,10
3,1.0,8,32,0,0
3,1.0,9,30,0,0
3,1.0,10,13,10,0
3,1.0,11,18,0,0
3,1.0,12,24,0,10
3,1.0,13,23,10,0
3,1.0,14,33,10,0
3,1.0,15,24,0,10
3,1.0,16,24,0,10
3,1.0,17,16,0,0
3,1.0,18,12,0,0
3,1.0,19,20,0,10
3,1.0,20,22,0,10
3,1.0,21,19,0,0
3,1.0,22,32,0,0
3,1.0,23,18,0,0
3,1.0,24,27,0,0
3,1.0,25,11,10,0
3,1.0,26,27,0,0
3,1.0,27,22,0,0
3,1.0,28,25,10,0
3,1.0,29,11,10,0
3,1.0,30,18,0,0
3,1.0,31,35,10,0
3,1.0,32,37,10,0
3,1.0,33,32,0,0
3,1.0,34,27,10,0
3,1.0,35,36,0,0
3,1.0,36,21,10,0
3,1.0,37,31,0,0
3,1.0,38,26,0,10
3,1.0,39,20,0,10
3,1.0,40,12,0,0
3,1.0,41,28,0,0
3,1.0,42,23,10,0
3,1.0,43,11,0,0
3,1.0,44,12,0,0
3,1.0,45,22,0,0
3,1.0,46,21,10,0
3,1.0,47,11,10,0
3,1.0,48,12,0,0
3,1.0,49,17,0,0
3,1.0,50,19,0,0
3,1.0,51,19,10,0
3,1.0,52,12,0,10
3,1.0,53,22,0,0
3,1.0,54,25,0,0
3,1.0,55,14,0,0
3,1.0,56,12,0,0
3,1.0,57,19,10,0
3,1.0,58,24,0,10
3,1.0,59,15,10,0
3,1.0,60,15,0,0
3,1.0,61,13,0,0
3,1.0,62,18,0,0
3,1.0,63,22,0,10
3,1.0,64,20,0,0
3,1.0,65,14,0,0
3,1.0,66,30,0,0
3,1.0,67,15,0,0
3,1.0,68,14,0,10
3,1.0,69,13,0,0
3,1.0,70,17,10,0
3,1.0,71,10,0,0
3,1.0,72,27,10,0
3,1.0,73,17,10,0
3,1.0,74,22,0,10
3,1.0,75,19,10,0
3,1.0,76,18,0,10
3,1.0,77,18,0,10
3,1.0,78,15,10,0
3,1.0,79,17,10,0
3,1.0,80,16,0,10
3,1.0,81,26,0,0
3,1.0,82,10,0,10
3,1.0,83,26,0,0
3,1.0,84,19,10,0
3,1.0,85,18,0,0
3,1.0,86,10,0,10
