board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player,knowledge_graph_nodes,knowledge_graph_total_rollouts
3,1,1.0,3,1,0,11,10,0,34,234
3,1,1.0,3,1,1,23,10,0,103,1138
3,1,1.0,3,1,2,17,0,0,154,1656
3,1,1.0,3,1,3,17,10,0,205,2173
3,1,1.0,3,1,4,36,0,10,313,4294
3,1,1.0,3,1,5,19,10,0,370,4937
3,1,1.0,3,1,6,10,0,0,400,5139
3,1,1.0,3,1,7,14,0,0,442,5504
3,1,1.0,3,1,8,27,0,0,523,6734
3,1,1.0,3,1,9,20,0,0,582,7436
3,1,1.0,3,1,10,11,10,0,614,7677
3,1,1.0,3,1,11,15,10,0,659,8094
3,1,1.0,3,1,12,20,0,0,719,8795
3,1,1.0,3,1,13,23,10,0,787,9703
3,1,1.0,3,1,14,31,10,0,880,11299
3,1,1.0,3,1,15,23,0,0,948,12209
3,1,1.0,3,1,16,11,10,0,980,12451
3,1,1.0,3,1,17,21,10,0,1043,13214
3,1,1.0,3,1,18,12,0,0,1078,13497
3,1,1.0,3,1,19,15,10,0,1123,13915
3,1,1.0,3,1,20,23,10,0,1191,14825
3,1,1.0,3,1,21,12,0,0,1226,15112
3,1,1.0,3,1,22,19,10,0,1282,15752
3,1,1.0,3,1,23,17,10,0,1333,16275
3,1,1.0,3,1,24,10,0,0,1363,16483
3,1,1.0,3,1,25,31,0,0,1453,18088
3,1,1.0,3,1,26,26,0,10,1530,19245
3,1,1.0,3,1,27,21,0,0,1592,20018
3,1,1.0,3,1,28,13,10,0,1630,20348
3,1,1.0,3,1,29,13,10,0,1669,20674
3,1,1.0,3,1,30,15,0,0,1713,21095
3,1,1.0,3,1,31,34,0,0,1812,23004
3,1,1.0,3,1,32,25,10,0,1887,24072
3,1,1.0,3,1,33,9,10,0,1913,24249
3,1,1.0,3,1,34,17,10,0,1963,24774
3,1,1.0,3,1,35,28,0,0,2046,26098
