board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,white,0,22,0,0
3,white,1,22,0,0
3,white,2,24,0,0
3,white,3,10,0,0
3,white,4,18,0,0
3,white,5,29,0,0
3,white,6,27,0,0
3,white,7,12,0,0
3,white,8,30,0,0
3,white,9,12,0,0
3,white,10,18,0,0
3,white,11,15,0,0
3,white,12,15,0,0
3,white,13,14,0,0
3,white,14,14,0,0
3,white,15,23,0,0
3,white,16,25,0,0
3,white,17,13,0,0
3,white,18,14,0,0
3,white,19,22,0,0
3,white,20,18,0,0
3,white,21,16,0,0
3,white,22,11,0,0
3,white,23,12,0,0
3,white,24,19,0,0
3,white,25,36,0,0
3,white,26,18,0,0
3,white,27,13,0,0
3,white,28,19,0,0
3,white,29,20,0,0
3,black,0,21,0,0
3,black,1,17,0,0
3,black,2,23,0,0
3,black,3,14,0,0
3,black,4,13,0,0
3,black,5,15,0,0
3,black,6,24,0,0
3,black,7,13,0,0
3,black,8,14,0,0
3,black,9,16,0,0
3,black,10,19,0,0
3,black,11,15,0,0
3,black,12,17,0,0
3,black,13,15,0,0
3,black,14,17,0,0
3,black,15,12,0,0
3,black,16,24,0,0
3,black,17,22,0,0
3,black,18,16,0,0
3,black,19,15,0,0
3,black,20,26,0,0
3,black,21,24,0,0
3,black,22,18,0,0
3,black,23,27,0,0
3,black,24,17,0,0
3,black,25,24,0,0
3,black,26,30,0,0
3,black,27,19,0,0
3,black,28,24,0,0
3,black,29,19,0,0
