board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,1.0,0,12,0,0
3,1.0,1,14,0,0
3,1.0,2,16,0,10
3,1.0,3,22,0,0
3,1.0,4,18,0,0
3,1.0,5,23,0,0
3,1.0,6,27,10,0
3,1.0,7,16,0,0
3,1.0,8,12,0,0
3,1.0,9,20,0,0
3,1.0,10,12,0,0
3,1.0,11,18,0,10
3,1.0,12,9,0,0
3,1.0,13,18,0,0
3,1.0,14,18,0,0
3,1.0,15,21,0,0
3,1.0,16,40,0,10
3,1.0,17,21,10,0
3,1.0,18,19,10,0
3,1.0,19,14,0,10
3,1.0,20,18,0,0
3,1.0,21,29,10,0
3,1.0,22,20,0,0
3,1.0,23,18,0,0
3,1.0,24,28,0,0
3,1.0,25,11,10,0
3,1.0,26,26,0,0
3,1.0,27,20,0,0
3,1.0,28,19,10,0
3,1.0,29,22,0,0
3,1.0,30,21,10,0
3,1.0,31,9,0,0
3,1.0,32,17,10,0
3,1.0,33,26,0,0
3,1.0,34,20,0,10
3,1.0,35,20,0,0
3,1.0,36,22,0,0
3,1.0,37,23,0,0
3,1.0,38,19,10,0
3,1.0,39,22,0,0
3,1.0,40,16,0,0
3,1.0,41,19,10,0
3,1.0,42,12,0,0
3,1.0,43,25,0,0
3,1.0,44,13,0,0
3,1.0,45,14,0,0
3,1.0,46,19,10,0
3,1.0,47,15,10,0
3,1.0,48,33,10,0
3,1.0,49,17,10,0
3,1.0,50,24,0,10
3,1.0,51,25,0,0
3,1.0,52,12,0,0
3,1.0,53,15,10,0
3,1.0,54,32,0,10
3,1.0,55,18,0,0
3,1.0,56,13,0,0
3,1.0,57,13,10,0
3,1.0,58,34,0,0
3,1.0,59,18,0,10
3,1.0,60,18,0,0
3,1.0,61,21,10,0
3,1.0,62,19,10,0
3,1.0,63,42,0,0
3,1.0,64,24,0,10
3,1.0,65,12,0,10
3,1.0,66,16,0,10
3,1.0,67,15,0,0
3,1.0,68,24,0,10
3,1.0,69,17,10,0
3,1.0,70,27,10,0
3,1.0,71,14,0,10
3,1.0,72,21,10,0
3,1.0,73,16,0,0
3,1.0,74,17,0,0
3,1.0,75,20,0,10
3,1.0,76,17,10,0
3,1.0,77,27,10,0
3,1.0,78,31,10,0
3,1.0,79,20,0,10
3,1.0,80,27,0,0
3,1.0,81,22,0,0
3,1.0,82,36,0,0
3,1.0,83,27,0,0
3,1.0,84,20,0,10
3,1.0,85,25,10,0
3,1.0,86,14,0,0
3,1.0,87,22,0,0
3,1.0,88,16,0,10
3,1.0,89,14,0,0
3,1.0,90,10,0,10
3,1.0,91,20,0,0
3,1.0,92,17,0,0
3,1.0,93,17,0,0
3,1.0,94,23,0,0
3,1.0,95,27,10,0
3,1.0,96,12,0,0
3,1.0,97,35,0,0
3,1.0,98,18,0,10
3,1.0,99,20,0,10
4,1.0,0,30,0,0
4,1.0,1,32,0,0
4,1.0,2,35,0,0
4,1.0,3,40,0,0
4,1.0,4,48,0,17
4,1.0,5,56,0,0
4,1.0,6,28,0,0
4,1.0,7,53,0,0
4,1.0,8,45,0,0
4,1.0,9,42,0,0
4,1.0,10,41,17,0
4,1.0,11,27,17,0
4,1.0,12,45,0,0
4,1.0,13,40,0,17
4,1.0,14,42,0,0
