board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,1.0,0,22,0,0
3,1.0,1,16,0,0
3,1.0,2,16,0,10
3,1.0,3,34,0,10
3,1.0,4,15,0,0
3,1.0,5,18,0,10
3,1.0,6,28,0,10
3,1.0,7,25,0,0
3,1.0,8,17,10,0
3,1.0,9,20,0,10
3,1.0,10,28,0,10
3,1.0,11,9,10,0
3,1.0,12,38,0,10
3,1.0,13,16,0,10
3,1.0,14,13,0,0
3,1.0,15,17,10,0
3,1.0,16,29,0,0
3,1.0,17,26,0,0
3,1.0,18,16,0,0
3,1.0,19,18,0,0
3,1.0,20,18,0,10
3,1.0,21,13,0,0
3,1.0,22,21,10,0
3,1.0,23,15,0,0
3,1.0,24,21,0,0
3,1.0,25,21,10,0
3,1.0,26,29,10,0
3,1.0,27,27,0,0
3,1.0,28,22,0,0
3,1.0,29,26,0,0
3,1.0,30,15,0,0
3,1.0,31,13,10,0
3,1.0,32,25,0,0
3,1.0,33,22,0,0
3,1.0,34,13,10,0
3,1.0,35,17,10,0
3,1.0,36,15,0,0
3,1.0,37,23,0,0
3,1.0,38,14,0,10
3,1.0,39,14,0,0
3,1.0,40,21,0,0
3,1.0,41,30,0,10
3,1.0,42,14,0,0
3,1.0,43,21,0,0
3,1.0,44,15,10,0
3,1.0,45,26,0,0
3,1.0,46,29,0,0
3,1.0,47,15,10,0
3,1.0,48,14,0,10
3,1.0,49,18,0,0
3,1.0,50,15,0,0
3,1.0,51,14,0,10
3,1.0,52,20,0,0
3,1.0,53,22,0,0
3,1.0,54,23,10,0
3,1.0,55,22,0,0
3,1.0,56,29,10,0
3,1.0,57,14,0,0
3,1.0,58,24,0,10
3,1.0,59,21,10,0
3,1.0,60,14,0,10
3,1.0,61,26,0,10
3,1.0,62,15,10,0
3,1.0,63,14,0,0
3,1.0,64,21,0,0
3,1.0,65,15,0,0
3,1.0,66,14,0,0
3,1.0,67,20,0,10
3,1.0,68,28,0,10
3,1.0,69,12,0,0
3,1.0,70,26,0,10
3,1.0,71,14,0,10
3,1.0,72,27,10,0
3,1.0,73,30,0,0
3,1.0,74,25,0,0
3,1.0,75,12,0,10
3,1.0,76,16,0,10
3,1.0,77,16,0,10
3,1.0,78,11,0,0
3,1.0,79,10,0,0
3,1.0,80,28,0,10
3,1.0,81,25,0,0
3,1.0,82,24,0,0
3,1.0,83,23,0,0
3,1.0,84,23,10,0
3,1.0,85,26,0,10
3,1.0,86,15,10,0
3,1.0,87,13,10,0
3,1.0,88,16,0,0
3,1.0,89,26,0,10
3,1.0,90,14,0,0
3,1.0,91,24,0,0
3,1.0,92,9,0,0
3,1.0,93,21,10,0
3,1.0,94,22,0,0
3,1.0,95,22,0,0
3,1.0,96,24,0,10
3,1.0,97,15,10,0
3,1.0,98,13,0,0
3,1.0,99,18,0,0
3,1.0,100,12,0,10
3,1.0,101,18,0,0
3,1.0,102,31,0,0
3,1.0,103,10,0,0
3,1.0,104,17,0,0
3,1.0,105,14,0,0
3,1.0,106,26,0,0
3,1.0,107,17,0,0
3,1.0,108,16,0,0
3,1.0,109,12,0,10
3,1.0,110,10,0,10
3,1.0,111,30,0,0
3,1.0,112,17,10,0
3,1.0,113,28,0,0
3,1.0,114,21,0,0
3,1.0,115,16,0,0
3,1.0,116,19,0,0
3,1.0,117,23,0,0
3,1.0,118,27,10,0
3,1.0,119,20,0,10
3,1.0,120,16,0,10
3,1.0,121,16,0,10
3,1.0,122,24,0,0
3,1.0,123,13,0,0
