board_size,starting_player,trial_number,steps,reward_for_white_player,reward_for_black_player
5,black,156,81,0,26
5,black,157,66,0,0
5,black,158,87,0,26
5,black,159,79,0,26
5,black,160,44,0,0
5,black,161,73,0,26
5,black,162,82,0,0
5,black,163,78,0,0
5,black,164,87,0,0
5,black,165,50,0,0
5,black,166,93,0,0
5,black,167,114,26,0
5,black,168,68,0,0
5,black,169,100,0,0
5,black,170,55,0,26
5,black,171,48,26,0
5,black,172,95,0,0
5,black,173,79,0,26
5,black,174,70,0,0
5,black,175,83,0,26
5,black,176,97,0,26
5,black,177,66,0,0
5,black,178,90,0,0
5,black,179,126,26,0
5,black,180,54,0,0
5,black,181,77,0,26
5,black,182,56,0,0
5,black,183,48,0,0
5,black,184,66,0,0
5,black,185,59,0,26
5,black,186,85,0,0
5,black,187,88,0,0
5,black,188,105,0,0
5,black,189,46,0,0
5,black,190,92,0,0
5,black,191,77,0,0
5,black,192,113,0,0
5,black,193,91,0,0
5,black,194,88,0,0
5,black,195,66,0,0
5,black,196,52,0,0
5,black,197,107,0,0
5,black,198,101,0,0
5,black,199,58,0,0
5,black,200,73,0,0
5,black,201,56,0,0
5,black,202,47,0,0
5,black,203,56,0,0
5,black,204,90,0,0
5,black,205,72,0,0
5,black,206,91,0,26
5,black,207,98,26,0
5,black,208,60,0,0
5,black,209,71,0,26
5,black,210,68,0,0
5,black,211,118,0,0
5,black,212,94,0,0
5,black,213,65,0,26
5,black,214,91,0,0
5,black,215,78,26,0
5,black,216,59,0,26
5,black,217,56,0,0
5,black,218,118,0,0
5,black,219,78,0,0
5,black,220,81,0,26
5,black,221,44,0,0
5,black,222,110,0,0
5,black,223,43,0,26
5,black,224,93,0,26
5,black,225,75,0,26
5,black,226,98,0,0
5,black,227,94,0,0
5,black,228,83,0,0
5,black,229,65,0,26
5,black,230,95,0,0
5,black,231,70,0,0
5,black,232,82,0,0
5,black,233,84,0,0
5,black,234,73,0,0
5,black,235,91,0,0
5,black,236,96,0,0
5,black,237,136,26,0
5,black,238,94,0,0
5,black,239,64,0,0
5,black,240,52,0,0
5,black,241,99,0,0
5,black,242,86,0,0
5,black,243,72,0,0
5,black,244,100,0,0
5,black,245,58,0,0
5,black,246,53,0,26
5,black,247,84,0,0
5,black,248,81,0,26
5,black,249,120,26,0
5,black,250,57,0,26
5,black,251,84,26,0
5,black,252,100,26,0
5,black,253,93,0,0
5,black,254,52,26,0
5,black,255,68,0,0
5,black,256,57,0,26
5,black,257,88,0,0
5,black,258,75,0,26
5,black,259,64,0,0
5,black,260,76,0,0
5,black,261,81,0,0
5,black,262,118,26,0
5,black,263,50,0,0
5,black,264,118,0,0
5,black,265,36,0,0
5,black,266,77,0,0
5,black,267,88,0,0
5,black,268,80,0,0
5,black,269,130,0,0
5,black,270,82,0,0
5,black,271,74,0,0
5,black,272,50,0,0
5,black,273,73,0,26
5,black,274,84,0,0
5,black,275,122,0,0
5,black,276,84,26,0
5,black,277,90,0,0
5,black,278,39,0,26
5,black,279,68,0,0
5,black,280,93,0,26
5,black,281,81,0,26
5,black,282,33,0,26
5,black,283,69,0,26
5,black,284,96,0,0
5,black,285,103,0,0
5,black,286,73,0,26
5,black,287,68,0,0
5,black,288,69,0,26
5,black,289,86,0,0
5,black,290,59,0,0
5,black,291,88,0,0
5,black,292,55,0,26
5,black,293,108,0,0
5,black,294,62,0,0
5,black,295,104,0,0
5,black,296,62,0,0
5,black,297,64,0,0
5,black,298,99,0,0
5,black,299,54,0,0
