board_size,starting_player,trial_number,steps,reward_for_white_player,reward_for_black_player
5,black,0,86,0,0
5,black,1,97,0,26
5,black,2,32,0,0
5,black,3,120,0,0
5,black,4,59,0,0
5,black,5,87,0,0
5,black,6,126,26,0
5,black,7,31,0,26
5,black,8,69,0,0
5,black,9,95,0,0
5,black,10,97,0,26
5,black,11,50,0,0
5,black,12,58,0,0
5,black,13,101,0,26
5,black,14,66,26,0
5,black,15,76,26,0
5,black,16,111,0,0
5,black,17,72,0,0
5,black,18,56,0,0
5,black,19,74,0,0
5,black,20,27,0,26
5,black,21,96,0,0
5,black,22,82,0,0
5,black,23,100,0,0
5,black,24,58,0,0
5,black,25,68,26,0
5,black,26,80,0,0
5,black,27,84,0,0
5,black,28,79,0,26
5,black,29,102,0,0
5,black,30,55,0,0
5,black,31,63,0,26
5,black,32,95,0,0
5,black,33,102,0,0
5,black,34,69,0,26
5,black,35,86,26,0
5,black,36,83,0,0
5,black,37,89,0,0
5,black,38,46,0,0
5,black,39,81,0,0
5,black,40,107,0,0
5,black,41,93,0,26
5,black,42,53,0,26
5,black,43,98,0,0
5,black,44,66,0,0
5,black,45,83,0,0
5,black,46,67,0,0
5,black,47,79,0,26
5,black,48,87,0,0
5,black,49,44,0,0
5,black,50,57,0,0
5,black,51,87,0,0
5,black,52,52,26,0
5,black,53,78,0,0
5,black,54,65,0,0
5,black,55,78,0,0
5,black,56,110,0,0
5,black,57,55,0,26
5,black,58,64,26,0
5,black,59,53,0,26
5,black,60,55,0,26
5,black,61,84,0,0
5,black,62,56,0,0
5,black,63,61,0,26
5,black,64,57,0,26
5,black,65,88,0,0
5,black,66,102,0,0
5,black,67,84,0,0
5,black,68,70,0,0
5,black,69,48,26,0
5,black,70,63,0,0
5,black,71,60,0,0
5,black,72,87,0,0
5,black,73,98,0,0
5,black,74,48,0,0
5,black,75,80,0,0
5,black,76,63,0,0
5,black,77,87,0,0
5,black,78,60,26,0
5,black,79,99,0,26
5,black,80,64,0,0
5,black,81,78,0,0
5,black,82,66,0,0
5,black,83,86,0,0
5,black,84,81,0,0
5,black,85,54,0,0
5,black,86,87,0,0
5,black,87,48,0,0
5,black,88,122,0,0
5,black,89,126,0,0
5,black,90,122,26,0
5,black,91,106,0,0
5,black,92,76,0,0
5,black,93,75,0,0
5,black,94,91,0,0
5,black,95,91,0,0
5,black,96,63,0,26
5,black,97,50,0,0
5,black,98,90,0,0
5,black,99,91,0,0
5,black,100,117,0,0
5,black,101,62,0,0
5,black,102,42,0,0
5,black,103,92,0,0
5,black,104,106,0,0
5,black,105,74,0,0
5,black,106,68,0,0
5,black,107,89,0,0
5,black,108,92,0,0
5,black,109,78,0,0
5,black,110,74,0,0
5,black,111,80,0,0
5,black,112,78,0,0
5,black,113,54,26,0
5,black,114,104,26,0
5,black,115,100,26,0
5,black,116,58,0,0
5,black,117,92,0,0
5,black,118,89,0,0
5,black,119,61,0,0
5,black,120,51,0,26
5,black,121,72,0,0
5,black,122,83,0,26
5,black,123,72,0,0
5,black,124,84,0,0
5,black,125,62,0,0
5,black,126,56,0,0
5,black,127,74,0,0
5,black,128,62,0,0
5,black,129,87,0,26
5,black,130,97,0,26
5,black,131,114,0,0
5,black,132,112,26,0
5,black,133,64,26,0
5,black,134,72,0,0
5,black,135,65,0,0
5,black,136,90,0,0
5,black,137,95,0,26
5,black,138,49,0,26
5,black,139,76,0,0
5,black,140,98,0,0
5,black,141,98,26,0
5,black,142,91,0,0
5,black,143,64,0,0
5,black,144,90,0,0
5,black,145,62,26,0
5,black,146,71,0,26
5,black,147,62,0,0
5,black,148,80,0,0
5,black,149,54,0,0
5,black,150,104,0,0
5,black,151,53,0,26
5,black,152,62,0,0
5,black,153,98,0,0
5,black,154,79,0,0
5,black,155,97,0,0
