board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,white,0,10,0,0
3,white,1,14,0,0
3,white,2,12,0,0
3,white,3,19,0,0
3,white,4,14,0,0
3,white,5,17,0,0
3,white,6,10,0,0
3,white,7,25,0,0
3,white,8,15,0,0
3,white,9,25,0,0
3,white,10,24,0,0
3,white,11,7,0,0
3,white,12,20,0,0
3,white,13,17,0,0
3,white,14,22,0,0
3,white,15,14,0,0
3,white,16,15,0,0
3,white,17,17,0,0
3,white,18,16,0,0
3,white,19,21,0,0
3,white,20,25,0,0
3,white,21,16,0,0
3,white,22,24,0,0
3,white,23,7,0,0
3,white,24,18,0,0
3,white,25,18,0,0
3,white,26,19,0,0
3,white,27,14,0,0
3,white,28,19,0,0
3,white,29,27,0,0
3,white,30,19,0,0
3,white,31,21,0,0
3,white,32,16,0,0
3,white,33,11,0,0
3,white,34,14,0,0
3,white,35,8,0,0
3,white,36,18,0,0
3,white,37,38,0,0
3,white,38,24,0,0
3,white,39,16,0,0
3,white,40,26,0,0
3,white,41,15,0,0
3,white,42,28,0,0
3,white,43,35,0,0
3,white,44,28,0,0
3,white,45,15,0,0
3,white,46,23,0,0
3,white,47,24,0,0
3,white,48,24,0,0
3,white,49,28,0,0
3,white,50,15,0,0
3,white,51,15,0,0
3,white,52,20,0,0
3,white,53,24,0,0
3,white,54,16,0,0
3,white,55,18,0,0
3,white,56,11,0,0
3,white,57,20,0,0
3,white,58,10,0,0
3,white,59,20,0,0
3,white,60,16,0,0
3,white,61,25,0,0
3,white,62,16,0,0
3,white,63,11,0,0
3,white,64,14,0,0
3,white,65,25,0,0
3,white,66,18,0,0
3,white,67,20,0,0
3,white,68,27,0,0
3,white,69,22,0,0
3,white,70,21,0,0
3,white,71,15,0,0
3,white,72,14,0,0
3,white,73,13,0,0
3,white,74,21,0,0
3,white,75,26,0,0
3,white,76,13,0,0
3,white,77,18,0,0
3,white,78,16,0,0
3,white,79,14,0,0
3,white,80,13,0,0
3,white,81,38,0,0
3,white,82,19,0,0
3,white,83,18,0,0
3,white,84,11,0,0
3,white,85,16,0,0
3,white,86,9,0,0
3,white,87,10,0,0
3,white,88,21,0,0
3,white,89,26,0,0
3,white,90,22,0,0
3,white,91,12,0,0
3,white,92,12,0,0
3,white,93,12,0,0
3,white,94,12,0,0
3,white,95,33,0,0
3,white,96,11,0,0
3,white,97,17,0,0
3,white,98,13,0,0
3,white,99,18,0,0
3,black,0,16,0,0
3,black,1,26,0,0
3,black,2,22,0,0
3,black,3,19,0,0
3,black,4,27,0,0
3,black,5,10,0,0
3,black,6,16,0,0
3,black,7,13,0,0
3,black,8,25,0,0
3,black,9,11,0,0
3,black,10,20,0,0
3,black,11,24,0,0
3,black,12,23,0,0
3,black,13,20,0,0
3,black,14,10,0,0
3,black,15,14,0,0
3,black,16,14,0,0
3,black,17,13,0,0
3,black,18,22,0,0
3,black,19,22,0,0
3,black,20,27,0,0
3,black,21,22,0,0
3,black,22,14,0,0
3,black,23,11,0,0
3,black,24,19,0,0
3,black,25,15,0,0
3,black,26,17,0,0
3,black,27,11,0,0
3,black,28,21,0,0
3,black,29,9,0,0
3,black,30,13,0,0
3,black,31,12,0,0
3,black,32,22,0,0
3,black,33,18,0,0
3,black,34,23,0,0
3,black,35,19,0,0
3,black,36,11,0,0
3,black,37,14,0,0
3,black,38,10,0,0
3,black,39,6,0,0
3,black,40,22,0,0
3,black,41,20,0,0
3,black,42,11,0,0
3,black,43,38,0,0
3,black,44,13,0,0
3,black,45,22,0,0
3,black,46,18,0,0
3,black,47,15,0,0
3,black,48,17,0,0
3,black,49,21,0,0
3,black,50,12,0,0
3,black,51,14,0,0
3,black,52,13,0,0
3,black,53,16,0,0
3,black,54,18,0,0
3,black,55,21,0,0
3,black,56,45,0,0
3,black,57,12,0,0
3,black,58,20,0,0
3,black,59,33,0,0
3,black,60,15,0,0
3,black,61,35,0,0
3,black,62,28,0,0
3,black,63,12,0,0
3,black,64,17,0,0
3,black,65,20,0,0
3,black,66,16,0,0
3,black,67,7,0,0
3,black,68,38,0,0
3,black,69,19,0,0
3,black,70,15,0,0
3,black,71,18,0,0
3,black,72,25,0,0
3,black,73,17,0,0
3,black,74,16,0,0
3,black,75,28,0,0
3,black,76,16,0,0
3,black,77,14,0,0
3,black,78,18,0,0
3,black,79,15,0,0
3,black,80,14,0,0
3,black,81,8,0,0
3,black,82,16,0,0
3,black,83,20,0,0
3,black,84,16,0,0
3,black,85,18,0,0
3,black,86,11,0,0
3,black,87,21,0,0
3,black,88,16,0,0
3,black,89,12,0,0
3,black,90,12,0,0
3,black,91,22,0,0
3,black,92,14,0,0
3,black,93,24,0,0
3,black,94,13,0,0
3,black,95,14,0,0
3,black,96,12,0,0
3,black,97,27,0,0
3,black,98,27,0,0
3,black,99,32,0,0
4,white,0,71,0,0
4,white,1,27,0,0
4,white,2,62,0,0
4,white,3,65,0,0
4,white,4,46,0,0
4,white,5,33,0,0
4,white,6,31,0,0
4,white,7,45,0,0
4,white,8,26,0,0
4,white,9,28,0,0
4,white,10,73,0,0
4,white,11,44,0,0
4,white,12,34,0,0
4,white,13,47,0,0
4,white,14,47,0,0
4,white,15,50,0,0
4,white,16,34,0,0
4,white,17,60,0,0
4,white,18,62,0,0
4,white,19,67,0,0
4,white,20,57,0,0
4,white,21,54,0,0
4,white,22,42,0,0
4,white,23,28,0,0
4,white,24,49,0,0
4,white,25,40,0,0
4,white,26,44,0,0
4,white,27,28,0,0
4,white,28,76,0,0
4,white,29,53,0,0
4,white,30,29,0,0
4,white,31,37,0,0
