board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,1.0,0,28,0,0
3,1.0,1,9,10,0
3,1.0,2,18,0,10
3,1.0,3,18,0,10
3,1.0,4,23,0,0
3,1.0,5,26,0,0
3,1.0,6,18,0,10
3,1.0,7,17,10,0
3,1.0,8,14,0,10
3,1.0,9,22,0,0
3,1.0,10,26,0,10
3,1.0,11,28,0,10
3,1.0,12,18,0,10
3,1.0,13,11,0,0
3,1.0,14,29,10,0
3,1.0,15,20,0,0
3,1.0,16,14,0,10
3,1.0,17,19,0,0
3,1.0,18,20,0,10
3,1.0,19,18,0,0
3,1.0,20,23,0,0
3,1.0,21,24,0,10
3,1.0,22,14,0,10
3,1.0,23,21,10,0
3,1.0,24,17,10,0
3,1.0,25,30,0,10
3,1.0,26,22,0,10
3,1.0,27,12,0,0
3,1.0,28,16,0,0
3,1.0,29,21,10,0
3,1.0,30,28,0,10
3,1.0,31,24,0,10
3,1.0,32,22,0,0
3,1.0,33,12,0,0
3,1.0,34,19,10,0
3,1.0,35,31,10,0
3,1.0,36,23,0,0
3,1.0,37,16,0,0
3,1.0,38,18,0,0
3,1.0,39,10,0,0
3,1.0,40,13,10,0
3,1.0,41,21,0,0
3,1.0,42,22,0,10
3,1.0,43,15,10,0
3,1.0,44,22,0,0
3,1.0,45,16,0,0
3,1.0,46,22,0,0
3,1.0,47,19,0,0
3,1.0,48,22,0,10
3,1.0,49,13,10,0
3,1.0,50,19,0,0
3,1.0,51,18,0,10
3,1.0,52,14,0,0
3,1.0,53,18,0,0
3,1.0,54,15,0,0
3,1.0,55,10,0,0
3,1.0,56,17,10,0
3,1.0,57,19,10,0
3,1.0,58,24,0,0
3,1.0,59,14,0,0
3,1.0,60,17,0,0
3,1.0,61,21,10,0
3,1.0,62,15,0,0
3,1.0,63,16,0,10
3,1.0,64,21,10,0
3,1.0,65,27,0,0
3,1.0,66,18,0,10
3,1.0,67,17,0,0
3,1.0,68,18,0,10
3,1.0,69,23,10,0
3,1.0,70,20,0,10
3,1.0,71,20,0,0
3,1.0,72,9,10,0
3,1.0,73,11,0,0
3,1.0,74,21,10,0
3,1.0,75,23,0,0
3,1.0,76,22,0,10
3,1.0,77,11,10,0
3,1.0,78,14,0,10
3,1.0,79,26,0,0
3,1.0,80,18,0,10
3,1.0,81,24,0,0
3,1.0,82,20,0,10
3,1.0,83,21,0,0
3,1.0,84,19,10,0
3,1.0,85,22,0,0
3,1.0,86,13,0,0
3,1.0,87,22,0,0
3,1.0,88,13,10,0
3,1.0,89,15,0,0
3,1.0,90,19,0,0
3,1.0,91,26,0,10
3,1.0,92,15,0,0
3,1.0,93,25,10,0
3,1.0,94,18,0,10
3,1.0,95,12,0,10
3,1.0,96,18,0,10
3,1.0,97,16,0,10
3,1.0,98,15,0,0
3,1.0,99,10,0,0
4,1.0,0,31,0,0
4,1.0,1,27,0,0
4,1.0,2,33,0,0
4,1.0,3,40,0,0
4,1.0,4,35,17,0
4,1.0,5,27,0,0
4,1.0,6,25,0,0
4,1.0,7,27,0,0
4,1.0,8,48,0,17
4,1.0,9,35,17,0
4,1.0,10,27,17,0
4,1.0,11,44,0,0
4,1.0,12,36,0,0
4,1.0,13,37,17,0
4,1.0,14,28,0,17
4,1.0,15,50,0,0
4,1.0,16,56,0,17
4,1.0,17,44,0,17
4,1.0,18,30,0,0
4,1.0,19,49,17,0
4,1.0,20,29,17,0
4,1.0,21,24,0,0
4,1.0,22,33,17,0
4,1.0,23,35,17,0
4,1.0,24,35,0,0
4,1.0,25,31,17,0
4,1.0,26,37,17,0
4,1.0,27,46,0,0
4,1.0,28,53,0,0
4,1.0,29,44,0,0
4,1.0,30,39,0,0
4,1.0,31,44,0,17
4,1.0,32,30,0,17
4,1.0,33,35,0,0
4,1.0,34,43,17,0
4,1.0,35,37,17,0
4,1.0,36,29,0,0
4,1.0,37,25,0,0
4,1.0,38,23,17,0
4,1.0,39,35,0,0
4,1.0,40,30,0,17
4,1.0,41,26,0,0
4,1.0,42,47,17,0
4,1.0,43,38,0,0
4,1.0,44,31,0,0
4,1.0,45,48,0,17
4,1.0,46,45,0,0
4,1.0,47,39,17,0
4,1.0,48,24,0,0
4,1.0,49,26,0,17
4,1.0,50,29,0,0
4,1.0,51,35,0,0
4,1.0,52,49,0,0
4,1.0,53,46,0,17
4,1.0,54,41,0,0
4,1.0,55,40,0,17
4,1.0,56,35,17,0
4,1.0,57,29,0,0
4,1.0,58,36,0,0
4,1.0,59,33,17,0
4,1.0,60,39,17,0
4,1.0,61,30,0,17
4,1.0,62,24,0,0
4,1.0,63,33,0,0
4,1.0,64,34,0,0
4,1.0,65,28,0,0
4,1.0,66,47,0,0
4,1.0,67,30,0,0
4,1.0,68,34,0,17
4,1.0,69,41,17,0
4,1.0,70,37,17,0
4,1.0,71,52,0,17
4,1.0,72,26,0,17
4,1.0,73,46,0,0
4,1.0,74,49,17,0
4,1.0,75,47,0,0
4,1.0,76,54,0,17
4,1.0,77,32,0,0
4,1.0,78,42,0,0
4,1.0,79,29,0,0
4,1.0,80,36,0,0
4,1.0,81,24,0,0
4,1.0,82,37,0,0
4,1.0,83,28,0,0
4,1.0,84,24,0,17
4,1.0,85,50,0,0
4,1.0,86,48,0,17
4,1.0,87,40,0,0
4,1.0,88,27,17,0
4,1.0,89,39,0,0
4,1.0,90,40,0,0
4,1.0,91,39,0,0
4,1.0,92,45,17,0
4,1.0,93,30,0,0
4,1.0,94,44,0,17
4,1.0,95,31,17,0
4,1.0,96,29,17,0
4,1.0,97,29,17,0
4,1.0,98,21,17,0
4,1.0,99,34,0,0
