board_size,epsilon,gamma,alpha,starting_player,episode,trial_number,steps,reward_for_white_player,reward_for_black_player
3,0.1,0.99,0.99,white,0,0,31,10,0
3,0.1,0.99,0.99,white,1,0,21,0,0
3,0.1,0.99,0.99,white,2,0,18,0,10
3,0.1,0.99,0.99,white,3,0,29,0,0
3,0.1,0.99,0.99,white,4,0,27,0,0
3,0.1,0.99,0.99,white,5,0,23,10,0
3,0.1,0.99,0.99,white,6,0,16,0,0
3,0.1,0.99,0.99,white,7,0,10,0,0
3,0.1,0.99,0.99,white,8,0,18,0,0
3,0.1,0.99,0.99,white,9,0,10,0,0
3,0.1,0.99,0.99,white,10,0,13,10,0
3,0.1,0.99,0.99,white,11,0,11,0,0
3,0.1,0.99,0.99,white,12,0,26,0,0
3,0.1,0.99,0.99,white,13,0,46,0,10
3,0.1,0.99,0.99,white,14,0,17,0,0
3,0.1,0.99,0.99,white,15,0,15,0,0
3,0.1,0.99,0.99,white,16,0,17,0,0
3,0.1,0.99,0.99,white,17,0,25,10,0
3,0.1,0.99,0.99,white,18,0,19,0,0
3,0.1,0.99,0.99,white,19,0,15,10,0
3,0.1,0.99,0.99,white,20,0,33,10,0
3,0.1,0.99,0.99,white,21,0,32,0,0
3,0.1,0.99,0.99,white,22,0,13,10,0
3,0.1,0.99,0.99,white,23,0,12,0,10
3,0.1,0.99,0.99,white,24,0,21,10,0
3,0.1,0.99,0.99,white,25,0,25,10,0
3,0.1,0.99,0.99,white,26,0,11,0,0
3,0.1,0.99,0.99,white,27,0,42,0,0
3,0.1,0.99,0.99,white,28,0,23,0,0
3,0.1,0.99,0.99,white,29,0,19,0,0
3,0.1,0.99,0.99,white,30,0,14,0,10
3,0.1,0.99,0.99,white,31,0,36,0,0
3,0.1,0.99,0.99,white,32,0,29,0,0
3,0.1,0.99,0.99,white,33,0,13,0,0
3,0.1,0.99,0.99,white,34,0,24,0,10
3,0.1,0.99,0.99,white,35,0,16,0,0
3,0.1,0.99,0.99,white,36,0,17,0,0
3,0.1,0.99,0.99,white,37,0,23,0,0
3,0.1,0.99,0.99,white,38,0,11,0,0
3,0.1,0.99,0.99,white,39,0,26,0,0
3,0.1,0.99,0.99,white,40,0,15,10,0
3,0.1,0.99,0.99,white,41,0,19,0,0
3,0.1,0.99,0.99,white,42,0,28,0,0
3,0.1,0.99,0.99,white,43,0,17,10,0
3,0.1,0.99,0.99,white,44,0,23,10,0
3,0.1,0.99,0.99,white,45,0,23,10,0
