board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,1.0,0,14,10,0
3,1.0,1,15,0,0
3,1.0,2,35,0,10
3,1.0,3,25,0,0
3,1.0,4,22,0,0
3,1.0,5,17,0,0
3,1.0,6,21,0,0
3,1.0,7,18,0,0
3,1.0,8,32,10,0
3,1.0,9,18,0,0
3,1.0,10,17,0,10
3,1.0,11,19,0,10
3,1.0,12,33,0,0
3,1.0,13,13,0,10
3,1.0,14,28,10,0
3,1.0,15,21,0,0
3,1.0,16,13,0,10
3,1.0,17,18,0,0
3,1.0,18,17,0,0
3,1.0,19,12,10,0
3,1.0,20,22,0,0
3,1.0,21,33,0,10
3,1.0,22,16,0,0
3,1.0,23,14,0,0
3,1.0,24,11,0,10
3,1.0,25,23,0,0
3,1.0,26,26,10,0
3,1.0,27,22,0,0
3,1.0,28,11,0,0
3,1.0,29,24,10,0
3,1.0,30,21,0,0
3,1.0,31,15,0,0
3,1.0,32,20,10,0
3,1.0,33,10,0,0
3,1.0,34,15,0,0
3,1.0,35,31,0,0
3,1.0,36,20,0,0
3,1.0,37,23,0,0
3,1.0,38,24,0,0
3,1.0,39,17,0,10
3,1.0,40,26,0,0
3,1.0,41,15,0,10
3,1.0,42,38,0,0
3,1.0,43,23,0,10
3,1.0,44,19,0,0
3,1.0,45,19,0,0
3,1.0,46,21,0,0
3,1.0,47,13,0,0
3,1.0,48,23,0,0
3,1.0,49,23,0,0
3,1.0,50,30,0,0
3,1.0,51,20,0,0
3,1.0,52,23,0,0
3,1.0,53,10,10,0
3,1.0,54,19,0,10
3,1.0,55,16,0,0
3,1.0,56,12,0,0
3,1.0,57,15,0,0
3,1.0,58,22,10,0
3,1.0,59,24,10,0
3,1.0,60,18,10,0
3,1.0,61,28,0,0
3,1.0,62,19,0,10
3,1.0,63,15,0,0
3,1.0,64,17,0,0
3,1.0,65,20,0,0
3,1.0,66,14,0,0
3,1.0,67,20,0,0
3,1.0,68,14,10,0
3,1.0,69,18,10,0
3,1.0,70,24,0,0
3,1.0,71,23,0,0
3,1.0,72,23,0,0
3,1.0,73,16,10,0
3,1.0,74,16,0,0
3,1.0,75,18,10,0
3,1.0,76,14,10,0
3,1.0,77,21,0,10
3,1.0,78,26,10,0
3,1.0,79,13,0,0
3,1.0,80,22,10,0
3,1.0,81,15,0,0
3,1.0,82,17,0,10
3,1.0,83,15,0,0
3,1.0,84,15,0,0
3,1.0,85,16,10,0
3,1.0,86,24,0,0
3,1.0,87,11,0,0
3,1.0,88,14,10,0
3,1.0,89,15,0,10
3,1.0,90,31,0,10
3,1.0,91,19,0,10
3,1.0,92,16,10,0
3,1.0,93,14,10,0
3,1.0,94,23,0,0
3,1.0,95,16,0,0
3,1.0,96,22,0,0
3,1.0,97,28,10,0
3,1.0,98,11,0,10
3,1.0,99,16,10,0
3,1.0,100,25,0,10
3,1.0,101,36,10,0
3,1.0,102,18,10,0
3,1.0,103,18,0,0
3,1.0,104,22,10,0
3,1.0,105,24,0,0
3,1.0,106,26,0,0
3,1.0,107,13,0,0
3,1.0,108,17,0,0
3,1.0,109,17,0,10
3,1.0,110,20,0,0
3,1.0,111,13,0,10
3,1.0,112,27,0,10
3,1.0,113,17,0,0
3,1.0,114,20,10,0
3,1.0,115,20,10,0
3,1.0,116,13,0,0
3,1.0,117,19,0,10
3,1.0,118,24,0,0
3,1.0,119,19,0,10
3,1.0,120,19,0,10
3,1.0,121,21,0,10
3,1.0,122,15,0,0
3,1.0,123,15,0,0
3,1.0,124,28,10,0
3,1.0,125,11,0,10
3,1.0,126,17,0,10
3,1.0,127,22,10,0
3,1.0,128,20,10,0
3,1.0,129,28,10,0
3,1.0,130,20,0,0
3,1.0,131,27,0,10
3,1.0,132,20,0,0
3,1.0,133,21,0,0
3,1.0,134,13,0,10
3,1.0,135,13,0,0
3,1.0,136,26,0,0
3,1.0,137,14,0,0
3,1.0,138,20,0,0
3,1.0,139,13,0,10
3,1.0,140,16,10,0
3,1.0,141,14,0,0
3,1.0,142,19,0,0
3,1.0,143,13,0,10
3,1.0,144,18,10,0
3,1.0,145,20,0,0
3,1.0,146,18,0,0
3,1.0,147,13,0,0
3,1.0,148,17,0,10
3,1.0,149,16,0,0
3,1.0,150,15,0,0
3,1.0,151,15,0,0
3,1.0,152,18,0,0
3,1.0,153,17,0,0
3,1.0,154,12,10,0
3,1.0,155,30,10,0
3,1.0,156,14,10,0
3,1.0,157,20,0,0
3,1.0,158,28,0,0
3,1.0,159,26,10,0
3,1.0,160,19,0,10
3,1.0,161,22,10,0
3,1.0,162,15,0,10
3,1.0,163,14,0,0
3,1.0,164,21,0,0
3,1.0,165,13,0,0
3,1.0,166,15,0,10
3,1.0,167,22,0,0
3,1.0,168,20,0,0
3,1.0,169,24,0,0
3,1.0,170,28,0,0
3,1.0,171,29,0,0
3,1.0,172,16,0,0
3,1.0,173,13,0,10
3,1.0,174,28,0,0
3,1.0,175,15,0,0
3,1.0,176,16,10,0
3,1.0,177,14,0,0
3,1.0,178,19,0,10
3,1.0,179,19,0,10
3,1.0,180,19,0,10
3,1.0,181,26,0,0
3,1.0,182,22,0,0
