board_size,epsilon,trial_number,steps,reward_for_white_player,reward_for_black_player
3,white,0,13,0,0
3,white,1,14,0,0
3,white,2,20,0,0
3,white,3,19,0,0
3,white,4,10,0,0
3,white,5,22,0,0
3,white,6,31,0,0
3,white,7,16,0,0
3,white,8,11,0,0
3,white,9,29,0,0
3,white,10,25,0,0
3,white,11,12,0,0
3,white,12,14,0,0
3,white,13,11,0,0
3,white,14,29,0,0
3,white,15,24,0,0
3,white,16,22,0,0
3,white,17,16,0,0
3,white,18,17,0,0
3,white,19,10,0,0
3,white,20,19,0,0
3,white,21,17,0,0
3,white,22,28,0,0
3,white,23,14,0,0
3,white,24,34,0,0
3,white,25,17,0,0
3,white,26,8,0,0
3,white,27,14,0,0
3,white,28,14,0,0
3,white,29,13,0,0
3,white,30,21,0,0
3,white,31,19,0,0
3,white,32,26,0,0
3,white,33,23,0,0
3,white,34,28,0,0
3,white,35,34,0,0
3,white,36,21,0,0
3,white,37,20,0,0
3,white,38,20,0,0
3,white,39,22,0,0
3,white,40,9,0,0
3,white,41,9,0,0
3,white,42,31,0,0
3,white,43,21,0,0
3,white,44,12,0,0
3,white,45,9,0,0
3,white,46,14,0,0
3,white,47,22,0,0
3,white,48,26,0,0
3,white,49,17,0,0
3,white,50,24,0,0
3,white,51,16,0,0
3,white,52,32,0,0
3,white,53,30,0,0
3,white,54,16,0,0
3,white,55,26,0,0
3,white,56,22,0,0
3,white,57,10,0,0
3,white,58,10,0,0
3,white,59,10,0,0
3,white,60,25,0,0
3,white,61,12,0,0
3,white,62,14,0,0
3,white,63,14,0,0
3,white,64,15,0,0
3,white,65,28,0,0
3,white,66,38,0,0
3,white,67,29,0,0
3,white,68,27,0,0
3,white,69,15,0,0
3,white,70,21,0,0
3,white,71,16,0,0
3,white,72,18,0,0
3,white,73,21,0,0
3,white,74,15,0,0
3,white,75,22,0,0
3,white,76,20,0,0
3,white,77,24,0,0
3,white,78,21,0,0
3,white,79,19,0,0
3,white,80,20,0,0
3,white,81,17,0,0
3,white,82,31,0,0
3,white,83,24,0,0
3,white,84,21,0,0
3,white,85,16,0,0
3,white,86,14,0,0
3,white,87,25,0,0
3,white,88,28,0,0
3,white,89,15,0,0
3,white,90,12,0,0
3,white,91,12,0,0
3,white,92,13,0,0
3,white,93,27,0,0
3,white,94,22,0,0
3,white,95,26,0,0
3,white,96,14,0,0
3,white,97,12,0,0
3,white,98,13,0,0
3,white,99,24,0,0
3,white,100,21,0,0
3,white,101,18,0,0
3,white,102,25,0,0
3,white,103,10,0,0
3,white,104,10,0,0
3,white,105,20,0,0
3,white,106,26,0,0
3,white,107,34,0,0
3,white,108,19,0,0
3,white,109,11,0,0
3,white,110,19,0,0
3,white,111,17,0,0
3,white,112,28,0,0
3,white,113,11,0,0
3,white,114,11,0,0
3,white,115,13,0,0
3,white,116,19,0,0
3,white,117,22,0,0
3,white,118,19,0,0
3,white,119,22,0,0
3,white,120,12,0,0
3,white,121,11,0,0
3,white,122,15,0,0
3,white,123,19,0,0
3,white,124,20,0,0
3,white,125,15,0,0
3,white,126,19,0,0
