board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,starting_player,sarsa_epsilon,sarsa_alpha,sarsa_gamma,trial_number,steps,reward_for_white_player,reward_for_black_player
3,3,0.9,3,16,white,0.1,0.99,0.99,0,25,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,1,12,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,2,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,3,25,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,4,17,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,5,11,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,6,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,7,13,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,8,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,9,18,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,10,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,11,17,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,12,16,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,13,21,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,14,31,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,15,21,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,16,17,0,0
3,3,0.9,3,16,white,0.1,0.99,0.99,17,15,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,18,29,10,0
3,3,0.9,3,16,white,0.1,0.99,0.99,19,21,10,0
